2022-11-13 00:43:18 status unpacked docker-scan-plugin:amd64 0.21.0~ubuntu-bionic
2022-11-13 00:43:18 status half-configured docker-scan-plugin:amd64 0.21.0~ubuntu-bionic
2022-11-13 00:43:18 status installed docker-scan-plugin:amd64 0.21.0~ubuntu-bionic
2022-11-13 00:43:18 configure libltdl7:amd64 2.4.6-2 <none>
2022-11-13 00:43:18 status unpacked libltdl7:amd64 2.4.6-2
2022-11-13 00:43:18 status half-configured libltdl7:amd64 2.4.6-2
2022-11-13 00:43:18 status installed libltdl7:amd64 2.4.6-2
2022-11-13 00:43:18 configure docker-compose-plugin:amd64 2.12.2~ubuntu-bionic <none>
2022-11-13 00:43:18 status unpacked docker-compose-plugin:amd64 2.12.2~ubuntu-bionic
2022-11-13 00:43:18 status half-configured docker-compose-plugin:amd64 2.12.2~ubuntu-bionic
2022-11-13 00:43:18 status installed docker-compose-plugin:amd64 2.12.2~ubuntu-bionic
2022-11-13 00:43:18 configure docker-ce-cli:amd64 5:20.10.21~3-0~ubuntu-bionic <none>
2022-11-13 00:43:18 status unpacked docker-ce-cli:amd64 5:20.10.21~3-0~ubuntu-bionic
2022-11-13 00:43:18 status half-configured docker-ce-cli:amd64 5:20.10.21~3-0~ubuntu-bionic
2022-11-13 00:43:18 status installed docker-ce-cli:amd64 5:20.10.21~3-0~ubuntu-bionic
2022-11-13 00:43:18 configure pigz:amd64 2.4-1 <none>
2022-11-13 00:43:18 status unpacked pigz:amd64 2.4-1
2022-11-13 00:43:18 status half-configured pigz:amd64 2.4-1
2022-11-13 00:43:18 status installed pigz:amd64 2.4-1
2022-11-13 00:43:18 configure docker-ce:amd64 5:20.10.21~3-0~ubuntu-bionic <none>
2022-11-13 00:43:18 status unpacked docker-ce:amd64 5:20.10.21~3-0~ubuntu-bionic
2022-11-13 00:43:18 status unpacked docker-ce:amd64 5:20.10.21~3-0~ubuntu-bionic
2022-11-13 00:43:18 status unpacked docker-ce:amd64 5:20.10.21~3-0~ubuntu-bionic
2022-11-13 00:43:18 status unpacked docker-ce:amd64 5:20.10.21~3-0~ubuntu-bionic
2022-11-13 00:43:19 status half-configured docker-ce:amd64 5:20.10.21~3-0~ubuntu-bionic
2022-11-13 00:43:20 status installed docker-ce:amd64 5:20.10.21~3-0~ubuntu-bionic
2022-11-13 00:43:20 trigproc libc-bin:amd64 2.27-3ubuntu1.6 <none>
2022-11-13 00:43:20 status half-configured libc-bin:amd64 2.27-3ubuntu1.6
2022-11-13 00:43:20 status installed libc-bin:amd64 2.27-3ubuntu1.6
2022-11-13 00:43:20 trigproc systemd:amd64 237-3ubuntu10.56 <none>
2022-11-13 00:43:20 status half-configured systemd:amd64 237-3ubuntu10.56
2022-11-13 00:43:20 status installed systemd:amd64 237-3ubuntu10.56
2022-11-13 00:43:20 trigproc man-db:amd64 2.8.3-2ubuntu0.1 <none>
2022-11-13 00:43:20 status half-configured man-db:amd64 2.8.3-2ubuntu0.1
2022-11-13 00:43:21 status installed man-db:amd64 2.8.3-2ubuntu0.1
2022-11-13 00:43:21 trigproc ureadahead:amd64 0.100.0-21 <none>
2022-11-13 00:43:21 status half-configured ureadahead:amd64 0.100.0-21
2022-11-13 00:43:22 status installed ureadahead:amd64 0.100.0-21
2022-11-13 00:48:10 startup archives unpack
2022-11-13 00:48:10 install binutils-common:amd64 <none> 2.30-21ubuntu1~18.04.7
2022-11-13 00:48:10 status half-installed binutils-common:amd64 2.30-21ubuntu1~18.04.7
2022-11-13 00:48:10 status triggers-pending man-db:amd64 2.8.3-2ubuntu0.1
2022-11-13 00:48:10 status unpacked binutils-common:amd64 2.30-21ubuntu1~18.04.7
2022-11-13 00:48:10 status unpacked binutils-common:amd64 2.30-21ubuntu1~18.04.7
2022-11-13 00:48:10 install libbinutils:amd64 <none> 2.30-21ubuntu1~18.04.7
2022-11-13 00:48:10 status triggers-pending libc-bin:amd64 2.27-3ubuntu1.6
2022-11-13 00:48:10 status half-installed libbinutils:amd64 2.30-21ubuntu1~18.04.7
2022-11-13 00:48:10 status unpacked libbinutils:amd64 2.30-21ubuntu1~18.04.7
2022-11-13 00:48:10 status unpacked libbinutils:amd64 2.30-21ubuntu1~18.04.7
2022-11-13 00:48:10 install binutils-x86-64-linux-gnu:amd64 <none> 2.30-21ubuntu1~18.04.7
2022-11-13 00:48:10 status half-installed binutils-x86-64-linux-gnu:amd64 2.30-21ubuntu1~18.04.7
2022-11-13 00:48:11 status unpacked binutils-x86-64-linux-gnu:amd64 2.30-21ubuntu1~18.04.7
2022-11-13 00:48:11 status unpacked binutils-x86-64-linux-gnu:amd64 2.30-21ubuntu1~18.04.7
2022-11-13 00:48:11 install binutils:amd64 <none> 2.30-21ubuntu1~18.04.7
2022-11-13 00:48:11 status half-installed binutils:amd64 2.30-21ubuntu1~18.04.7
2022-11-13 00:48:11 status unpacked binutils:amd64 2.30-21ubuntu1~18.04.7
2022-11-13 00:48:11 status unpacked binutils:amd64 2.30-21ubuntu1~18.04.7
2022-11-13 00:48:11 install libc-dev-bin:amd64 <none> 2.27-3ubuntu1.6
2022-11-13 00:48:11 status half-installed libc-dev-bin:amd64 2.27-3ubuntu1.6
2022-11-13 00:48:11 status unpacked libc-dev-bin:amd64 2.27-3ubuntu1.6
2022-11-13 00:48:11 status unpacked libc-dev-bin:amd64 2.27-3ubuntu1.6
2022-11-13 00:48:11 install linux-libc-dev:amd64 <none> 4.15.0-196.207
2022-11-13 00:48:11 status half-installed linux-libc-dev:amd64 4.15.0-196.207
2022-11-13 00:48:11 status unpacked linux-libc-dev:amd64 4.15.0-196.207
2022-11-13 00:48:11 status unpacked linux-libc-dev:amd64 4.15.0-196.207
2022-11-13 00:48:11 install libc6-dev:amd64 <none> 2.27-3ubuntu1.6
2022-11-13 00:48:11 status half-installed libc6-dev:amd64 2.27-3ubuntu1.6
2022-11-13 00:48:11 status unpacked libc6-dev:amd64 2.27-3ubuntu1.6
2022-11-13 00:48:11 status unpacked libc6-dev:amd64 2.27-3ubuntu1.6
2022-11-13 00:48:11 install gcc-7-base:amd64 <none> 7.5.0-3ubuntu1~18.04
2022-11-13 00:48:11 status half-installed gcc-7-base:amd64 7.5.0-3ubuntu1~18.04
2022-11-13 00:48:11 status unpacked gcc-7-base:amd64 7.5.0-3ubuntu1~18.04
2022-11-13 00:48:11 status unpacked gcc-7-base:amd64 7.5.0-3ubuntu1~18.04
2022-11-13 00:48:11 install libisl19:amd64 <none> 0.19-1
2022-11-13 00:48:11 status half-installed libisl19:amd64 0.19-1
2022-11-13 00:48:11 status unpacked libisl19:amd64 0.19-1
2022-11-13 00:48:11 status unpacked libisl19:amd64 0.19-1
2022-11-13 00:48:11 install libmpc3:amd64 <none> 1.1.0-1
2022-11-13 00:48:11 status half-installed libmpc3:amd64 1.1.0-1
2022-11-13 00:48:11 status unpacked libmpc3:amd64 1.1.0-1
2022-11-13 00:48:11 status unpacked libmpc3:amd64 1.1.0-1
2022-11-13 00:48:11 install cpp-7:amd64 <none> 7.5.0-3ubuntu1~18.04
2022-11-13 00:48:11 status half-installed cpp-7:amd64 7.5.0-3ubuntu1~18.04
2022-11-13 00:48:12 status unpacked cpp-7:amd64 7.5.0-3ubuntu1~18.04
2022-11-13 00:48:12 status unpacked cpp-7:amd64 7.5.0-3ubuntu1~18.04
2022-11-13 00:48:12 install cpp:amd64 <none> 4:7.4.0-1ubuntu2.3
2022-11-13 00:48:12 status half-installed cpp:amd64 4:7.4.0-1ubuntu2.3
2022-11-13 00:48:12 status unpacked cpp:amd64 4:7.4.0-1ubuntu2.3
2022-11-13 00:48:12 status unpacked cpp:amd64 4:7.4.0-1ubuntu2.3
2022-11-13 00:48:12 install libcc1-0:amd64 <none> 8.4.0-1ubuntu1~18.04
2022-11-13 00:48:12 status half-installed libcc1-0:amd64 8.4.0-1ubuntu1~18.04
2022-11-13 00:48:12 status unpacked libcc1-0:amd64 8.4.0-1ubuntu1~18.04
2022-11-13 00:48:12 status unpacked libcc1-0:amd64 8.4.0-1ubuntu1~18.04
2022-11-13 00:48:12 install libgomp1:amd64 <none> 8.4.0-1ubuntu1~18.04
2022-11-13 00:48:12 status half-installed libgomp1:amd64 8.4.0-1ubuntu1~18.04
2022-11-13 00:48:12 status unpacked libgomp1:amd64 8.4.0-1ubuntu1~18.04
2022-11-13 00:48:12 status unpacked libgomp1:amd64 8.4.0-1ubuntu1~18.04
2022-11-13 00:48:12 install libitm1:amd64 <none> 8.4.0-1ubuntu1~18.04
2022-11-13 00:48:12 status half-installed libitm1:amd64 8.4.0-1ubuntu1~18.04
2022-11-13 00:48:12 status unpacked libitm1:amd64 8.4.0-1ubuntu1~18.04
2022-11-13 00:48:12 status unpacked libitm1:amd64 8.4.0-1ubuntu1~18.04
2022-11-13 00:48:12 install libatomic1:amd64 <none> 8.4.0-1ubuntu1~18.04
2022-11-13 00:48:12 status half-installed libatomic1:amd64 8.4.0-1ubuntu1~18.04
2022-11-13 00:48:12 status unpacked libatomic1:amd64 8.4.0-1ubuntu1~18.04
2022-11-13 00:48:12 status unpacked libatomic1:amd64 8.4.0-1ubuntu1~18.04
2022-11-13 00:48:13 install libasan4:amd64 <none> 7.5.0-3ubuntu1~18.04
2022-11-13 00:48:13 status half-installed libasan4:amd64 7.5.0-3ubuntu1~18.04
2022-11-13 00:48:13 status unpacked libasan4:amd64 7.5.0-3ubuntu1~18.04
2022-11-13 00:48:13 status unpacked libasan4:amd64 7.5.0-3ubuntu1~18.04
2022-11-13 00:48:13 install liblsan0:amd64 <none> 8.4.0-1ubuntu1~18.04
2022-11-13 00:48:13 status half-installed liblsan0:amd64 8.4.0-1ubuntu1~18.04
2022-11-13 00:48:13 status unpacked liblsan0:amd64 8.4.0-1ubuntu1~18.04
2022-11-13 00:48:13 status unpacked liblsan0:amd64 8.4.0-1ubuntu1~18.04
2022-11-13 00:48:13 install libtsan0:amd64 <none> 8.4.0-1ubuntu1~18.04
2022-11-13 00:48:13 status half-installed libtsan0:amd64 8.4.0-1ubuntu1~18.04
2022-11-13 00:48:13 status unpacked libtsan0:amd64 8.4.0-1ubuntu1~18.04
2022-11-13 00:48:13 status unpacked libtsan0:amd64 8.4.0-1ubuntu1~18.04
2022-11-13 00:48:13 install libubsan0:amd64 <none> 7.5.0-3ubuntu1~18.04
2022-11-13 00:48:13 status half-installed libubsan0:amd64 7.5.0-3ubuntu1~18.04
2022-11-13 00:48:13 status unpacked libubsan0:amd64 7.5.0-3ubuntu1~18.04
2022-11-13 00:48:13 status unpacked libubsan0:amd64 7.5.0-3ubuntu1~18.04
2022-11-13 00:48:13 install libcilkrts5:amd64 <none> 7.5.0-3ubuntu1~18.04
2022-11-13 00:48:13 status half-installed libcilkrts5:amd64 7.5.0-3ubuntu1~18.04
2022-11-13 00:48:13 status unpacked libcilkrts5:amd64 7.5.0-3ubuntu1~18.04
2022-11-13 00:48:13 status unpacked libcilkrts5:amd64 7.5.0-3ubuntu1~18.04
2022-11-13 00:48:13 install libmpx2:amd64 <none> 8.4.0-1ubuntu1~18.04
2022-11-13 00:48:13 status half-installed libmpx2:amd64 8.4.0-1ubuntu1~18.04
2022-11-13 00:48:13 status unpacked libmpx2:amd64 8.4.0-1ubuntu1~18.04
2022-11-13 00:48:13 status unpacked libmpx2:amd64 8.4.0-1ubuntu1~18.04
2022-11-13 00:48:13 install libquadmath0:amd64 <none> 8.4.0-1ubuntu1~18.04
2022-11-13 00:48:13 status half-installed libquadmath0:amd64 8.4.0-1ubuntu1~18.04
2022-11-13 00:48:13 status unpacked libquadmath0:amd64 8.4.0-1ubuntu1~18.04
2022-11-13 00:48:13 status unpacked libquadmath0:amd64 8.4.0-1ubuntu1~18.04
2022-11-13 00:48:13 install libgcc-7-dev:amd64 <none> 7.5.0-3ubuntu1~18.04
2022-11-13 00:48:13 status half-installed libgcc-7-dev:amd64 7.5.0-3ubuntu1~18.04
2022-11-13 00:48:13 status unpacked libgcc-7-dev:amd64 7.5.0-3ubuntu1~18.04
2022-11-13 00:48:13 status unpacked libgcc-7-dev:amd64 7.5.0-3ubuntu1~18.04
2022-11-13 00:48:13 install gcc-7:amd64 <none> 7.5.0-3ubuntu1~18.04
2022-11-13 00:48:13 status half-installed gcc-7:amd64 7.5.0-3ubuntu1~18.04
2022-11-13 00:48:14 status unpacked gcc-7:amd64 7.5.0-3ubuntu1~18.04
2022-11-13 00:48:14 status unpacked gcc-7:amd64 7.5.0-3ubuntu1~18.04
2022-11-13 00:48:14 install gcc:amd64 <none> 4:7.4.0-1ubuntu2.3
2022-11-13 00:48:14 status half-installed gcc:amd64 4:7.4.0-1ubuntu2.3
2022-11-13 00:48:14 status unpacked gcc:amd64 4:7.4.0-1ubuntu2.3
2022-11-13 00:48:14 status unpacked gcc:amd64 4:7.4.0-1ubuntu2.3
2022-11-13 00:48:14 install libstdc++-7-dev:amd64 <none> 7.5.0-3ubuntu1~18.04
2022-11-13 00:48:14 status half-installed libstdc++-7-dev:amd64 7.5.0-3ubuntu1~18.04
2022-11-13 00:48:15 status unpacked libstdc++-7-dev:amd64 7.5.0-3ubuntu1~18.04
2022-11-13 00:48:15 status unpacked libstdc++-7-dev:amd64 7.5.0-3ubuntu1~18.04
2022-11-13 00:48:15 install g++-7:amd64 <none> 7.5.0-3ubuntu1~18.04
2022-11-13 00:48:15 status half-installed g++-7:amd64 7.5.0-3ubuntu1~18.04
2022-11-13 00:48:16 status unpacked g++-7:amd64 7.5.0-3ubuntu1~18.04
2022-11-13 00:48:16 status unpacked g++-7:amd64 7.5.0-3ubuntu1~18.04
2022-11-13 00:48:16 install g++:amd64 <none> 4:7.4.0-1ubuntu2.3
2022-11-13 00:48:16 status half-installed g++:amd64 4:7.4.0-1ubuntu2.3
2022-11-13 00:48:16 status unpacked g++:amd64 4:7.4.0-1ubuntu2.3
2022-11-13 00:48:16 status unpacked g++:amd64 4:7.4.0-1ubuntu2.3
2022-11-13 00:48:16 install make:amd64 <none> 4.1-9.1ubuntu1
2022-11-13 00:48:16 status half-installed make:amd64 4.1-9.1ubuntu1
2022-11-13 00:48:16 status unpacked make:amd64 4.1-9.1ubuntu1
2022-11-13 00:48:16 status unpacked make:amd64 4.1-9.1ubuntu1
2022-11-13 00:48:16 install libdpkg-perl:all <none> 1.19.0.5ubuntu2.4
2022-11-13 00:48:16 status half-installed libdpkg-perl:all 1.19.0.5ubuntu2.4
2022-11-13 00:48:16 status unpacked libdpkg-perl:all 1.19.0.5ubuntu2.4
2022-11-13 00:48:16 status unpacked libdpkg-perl:all 1.19.0.5ubuntu2.4
2022-11-13 00:48:16 install dpkg-dev:all <none> 1.19.0.5ubuntu2.4
2022-11-13 00:48:16 status half-installed dpkg-dev:all 1.19.0.5ubuntu2.4
2022-11-13 00:48:16 status unpacked dpkg-dev:all 1.19.0.5ubuntu2.4
2022-11-13 00:48:16 status unpacked dpkg-dev:all 1.19.0.5ubuntu2.4
2022-11-13 00:48:16 install build-essential:amd64 <none> 12.4ubuntu1
2022-11-13 00:48:16 status half-installed build-essential:amd64 12.4ubuntu1
2022-11-13 00:48:16 status unpacked build-essential:amd64 12.4ubuntu1
2022-11-13 00:48:16 status unpacked build-essential:amd64 12.4ubuntu1
2022-11-13 00:48:16 install libfakeroot:amd64 <none> 1.22-2ubuntu1
2022-11-13 00:48:16 status half-installed libfakeroot:amd64 1.22-2ubuntu1
2022-11-13 00:48:16 status unpacked libfakeroot:amd64 1.22-2ubuntu1
2022-11-13 00:48:16 status unpacked libfakeroot:amd64 1.22-2ubuntu1
2022-11-13 00:48:16 install fakeroot:amd64 <none> 1.22-2ubuntu1
2022-11-13 00:48:16 status half-installed fakeroot:amd64 1.22-2ubuntu1
2022-11-13 00:48:16 status unpacked fakeroot:amd64 1.22-2ubuntu1
2022-11-13 00:48:16 status unpacked fakeroot:amd64 1.22-2ubuntu1
2022-11-13 00:48:16 install golang-1.10-src:amd64 <none> 1.10.4-2ubuntu1~18.04.2
2022-11-13 00:48:16 status half-installed golang-1.10-src:amd64 1.10.4-2ubuntu1~18.04.2
2022-11-13 00:48:18 status unpacked golang-1.10-src:amd64 1.10.4-2ubuntu1~18.04.2
2022-11-13 00:48:18 status unpacked golang-1.10-src:amd64 1.10.4-2ubuntu1~18.04.2
2022-11-13 00:48:18 install golang-1.10-go:amd64 <none> 1.10.4-2ubuntu1~18.04.2
2022-11-13 00:48:18 status half-installed golang-1.10-go:amd64 1.10.4-2ubuntu1~18.04.2
2022-11-13 00:48:20 status unpacked golang-1.10-go:amd64 1.10.4-2ubuntu1~18.04.2
2022-11-13 00:48:20 status unpacked golang-1.10-go:amd64 1.10.4-2ubuntu1~18.04.2
2022-11-13 00:48:20 install golang-1.10-race-detector-runtime:amd64 <none> 0.0+svn285455-0ubuntu1
2022-11-13 00:48:20 status half-installed golang-1.10-race-detector-runtime:amd64 0.0+svn285455-0ubuntu1
2022-11-13 00:48:20 status unpacked golang-1.10-race-detector-runtime:amd64 0.0+svn285455-0ubuntu1
2022-11-13 00:48:21 status unpacked golang-1.10-race-detector-runtime:amd64 0.0+svn285455-0ubuntu1
2022-11-13 00:48:21 install golang-src:amd64 <none> 2:1.10~4ubuntu1
2022-11-13 00:48:21 status half-installed golang-src:amd64 2:1.10~4ubuntu1
2022-11-13 00:48:21 status unpacked golang-src:amd64 2:1.10~4ubuntu1
2022-11-13 00:48:21 status unpacked golang-src:amd64 2:1.10~4ubuntu1
2022-11-13 00:48:21 install golang-go:amd64 <none> 2:1.10~4ubuntu1
2022-11-13 00:48:21 status half-installed golang-go:amd64 2:1.10~4ubuntu1
2022-11-13 00:48:21 status unpacked golang-go:amd64 2:1.10~4ubuntu1
2022-11-13 00:48:21 status unpacked golang-go:amd64 2:1.10~4ubuntu1
2022-11-13 00:48:21 install libalgorithm-diff-perl:all <none> 1.19.03-1
2022-11-13 00:48:21 status half-installed libalgorithm-diff-perl:all 1.19.03-1
2022-11-13 00:48:21 status unpacked libalgorithm-diff-perl:all 1.19.03-1
2022-11-13 00:48:21 status unpacked libalgorithm-diff-perl:all 1.19.03-1
2022-11-13 00:48:21 install libalgorithm-diff-xs-perl:amd64 <none> 0.04-5
2022-11-13 00:48:21 status half-installed libalgorithm-diff-xs-perl:amd64 0.04-5
2022-11-13 00:48:21 status unpacked libalgorithm-diff-xs-perl:amd64 0.04-5
2022-11-13 00:48:21 status unpacked libalgorithm-diff-xs-perl:amd64 0.04-5
2022-11-13 00:48:21 install libalgorithm-merge-perl:all <none> 0.08-3
2022-11-13 00:48:21 status half-installed libalgorithm-merge-perl:all 0.08-3
2022-11-13 00:48:21 status unpacked libalgorithm-merge-perl:all 0.08-3
2022-11-13 00:48:21 status unpacked libalgorithm-merge-perl:all 0.08-3
2022-11-13 00:48:21 install libfile-fcntllock-perl:amd64 <none> 0.22-3build2
2022-11-13 00:48:21 status half-installed libfile-fcntllock-perl:amd64 0.22-3build2
2022-11-13 00:48:21 status unpacked libfile-fcntllock-perl:amd64 0.22-3build2
2022-11-13 00:48:21 status unpacked libfile-fcntllock-perl:amd64 0.22-3build2
2022-11-13 00:48:21 install manpages-dev:all <none> 4.15-1
2022-11-13 00:48:21 status half-installed manpages-dev:all 4.15-1
2022-11-13 00:48:21 status unpacked manpages-dev:all 4.15-1
2022-11-13 00:48:21 status unpacked manpages-dev:all 4.15-1
2022-11-13 00:48:21 install pkg-config:amd64 <none> 0.29.1-0ubuntu2
2022-11-13 00:48:21 status half-installed pkg-config:amd64 0.29.1-0ubuntu2
